Region,2015,2014,2013,2012,2011,2010,2009
United Kingdom,73.2,72.7,71.3,70.8,70.6,70.5,71.0
Great Britain,73.4,72.9,71.4,70.9,70.7,70.7,71.2
England,73.4,72.9,71.4,71.0,70.7,70.8,71.3
North East,67.9,69.5,66.8,67.1,65.8,67.1,65.8
North West,71.4,70.2,69.5,70.1,69.5,69.5,69.8
Yorkshire and The Humber,72.0,71.9,70.5,69.5,68.6,70.2,69.0
East Midlands,75.1,74.8,71.4,71.9,72.1,71.1,73.0
West Midlands,70.2,70.0,69.3,68.6,67.9,69.6,68.7
East of England,77.1,76.1,75.0,75.0,74.9,73.1,75.3
London,71.1,70.8,68.9,67.6,67.6,67.0,67.1
Inner London,70.0,68.9,67.6,66.7,65.0,65.0,65.2
Outer London,71.9,72.1,69.9,68.3,69.4,68.4,68.4
South East,76.1,76.3,75.2,74.2,74.5,74.3,75.8
South West,77.7,75.2,73.6,73.5,72.9,73.7,74.4
Wales,72.1,69.8,69.7,69.0,68.1,67.8,68.0
Scotland,74.0,74.4,72.3,71.6,72.2,71.2,72.2
Northern Ireland,67.4,67.9,65.4,66.9,66.5,66.2,62.9
