Regions,GDHI per head ,GDHI per head growth on 2014 (percentage),GDHI per head index,Total GDHI ,Total GDHI growth on 2014 (percentage),"Share of UK 
total GDHI 
(percentage)"
UK,"19,106",2.9,100.0,"1,243,970",3.7,100.0
North East,"16,197",3.9,84.8,"42,512",4.2,3.4
North West,"16,915",2.9,88.5,"121,344",3.5,9.8
Yorkshire and The Humber,"16,267",2.9,85.1,"87,691",3.5,7.0
East Midlands,"16,935",2.5,88.6,"79,206",3.3,6.4
West Midlands,"16,559",2.0,86.7,"95,234",2.7,7.7
East of England,"19,796",3.0,103.6,"120,292",4.0,9.7
London,"25,293",2.7,132.4,"219,386",4.3,17.6
South East,"21,808",2.8,114.1,"195,138",3.7,15.7
South West,"19,128",3.5,100.1,"104,651",4.4,8.4
Wales,"16,341",3.3,85.5,"50,642",3.6,4.1
Scotland,"18,315",2.7,95.9,"98,408",3.2,7.9
Northern Ireland,"15,913",3.0,83.3,"29,466",3.6,2.4
