Period,UK nationals,EU nationals,Non-EU nationals
Jan - Mar 1998,6.256586721,6.125235912,10.62344123
Apr - Jun 1998,6.044748847,6.614560524,9.569063362
Jul - Sep 1998,6.296569931,6.832502398,9.797179554
Oct - Dec 1998,5.823434252,6.289795631,11.5394443
Jan - Mar 1999,6.124391015,5.996868052,11.02550465
Apr - Jun 1999,5.837151639,6.145886434,10.97070526
Jul - Sep 1999,5.967384166,5.880613468,12.3403271
Oct - Dec 1999,5.504944231,5.662516152,11.04710112
Jan - Mar 2000,5.710158058,5.832949162,11.32548832
Apr - Jun 2000,5.192340384,6.42073405,11.66633691
Jul - Sep 2000,5.322613905,5.77717181,13.12986137
Oct - Dec 2000,4.877365461,5.942424976,11.18512172
Jan - Mar 2001,4.968675112,5.694922586,10.91599869
Apr - Jun 2001,4.7332589,3.43981634,11.7846017
Jul - Sep 2001,5.19914134,5.498783283,9.17211091
Oct - Dec 2001,4.919675291,5.667475834,8.846220587
Jan - Mar 2002,5.040146498,5.866367291,10.45747718
Apr - Jun 2002,4.848512104,5.488095597,10.26999706
Jul - Sep 2002,5.319163944,7.315462447,10.75031825
Oct - Dec 2002,4.861804828,5.771317869,8.682127929
Jan - Mar 2003,5.016276395,5.642782521,10.19726319
Apr - Jun 2003,4.62291178,5.235510595,10.0024167
Jul - Sep 2003,5.086782618,5.84026197,9.999698882
Oct - Dec 2003,4.575321109,5.027932961,10.83562708
Jan - Mar 2004,4.631904052,5.903428196,9.025895213
Apr - Jun 2004,4.509837221,5.853641535,8.654701512
Jul - Sep 2004,4.729096483,5.773689955,9.138040842
Oct - Dec 2004,4.434053473,4.81426241,9.280917113
Jan - Mar 2005,4.51509224,5.846342521,8.267060925
Apr - Jun 2005,4.43624492,6.529385942,8.900620956
Jul - Sep 2005,4.779291222,5.025746045,9.537793957
Oct - Dec 2005,4.807718048,6.14405949,9.888130572
Jan - Mar 2006,4.975747555,6.125235912,10.62344123
Apr - Jun 2006,5.156208843,6.614560524,9.569063362
Jul - Sep 2006,5.487862073,6.832502398,9.797179554
Oct - Dec 2006,5.174820804,6.024288608,9.374746489
Jan - Mar 2007,5.259551689,6.408853999,10.39986705
Apr - Jun 2007,5.032971003,6.437234209,9.33046837
Jul - Sep 2007,5.382868518,5.441005313,9.08084121
Oct - Dec 2007,4.845167002,5.112629322,8.729223713
Jan - Mar 2008,4.988080692,5.329332454,8.917085826
Apr - Jun 2008,5.104036355,4.998784309,8.781650072
Jul - Sep 2008,6.013187241,4.499340159,8.882392948
Oct - Dec 2008,6.11915582,5.131661802,8.778213888
Jan - Mar 2009,7.004038828,5.402362689,9.602832885
Apr - Jun 2009,7.535665282,6.538150141,11.62188314
Jul - Sep 2009,7.923204923,6.513396025,12.37168397
Oct - Dec 2009,7.509275153,6.122122983,11.42817474
Jan - Mar 2010,7.871261164,7.492810285,11.17578814
Apr - Jun 2010,7.605176469,6.909456894,11.74965706
Jul - Sep 2010,7.873593479,7.112092792,10.94130938
Oct - Dec 2010,7.648765246,5.766945071,11.32088091
Jan - Mar 2011,7.630015697,6.637320461,11.67187487
Apr - Jun 2011,7.684813544,6.471085364,12.49575535
Jul - Sep 2011,8.418543604,7.348894426,12.60918165
Oct - Dec 2011,8.134815602,7.506941091,11.63313447
Jan - Mar 2012,8.019098811,7.687065504,12.42551257
Apr - Jun 2012,7.79411097,7.20323771,11.22871698
Jul - Sep 2012,7.940993763,7.863778108,11.31202045
Oct - Dec 2012,7.570272771,7.065262492,10.6429299
Jan - Mar 2013,7.616641517,7.953490081,11.96660907
Apr - Jun 2013,7.512249453,6.895242416,11.79849523
Jul - Sep 2013,7.672296625,7.183024459,12.17517533
Oct - Dec 2013,6.984938399,6.417241512,10.02292804
Jan - Mar 2014,6.552358096,6.288606139,11.09970128
Apr - Jun 2014,6.107398084,5.680318909,9.464917397
Jul - Sep 2014,6.122642692,5.759985238,8.653457062
Oct - Dec 2014,5.460751981,5.218857665,8.545415391
Jan - Mar 2015,5.354769745,5.418115458,9.028821566
Apr - Jun 2015,5.395783487,5.32023035,8.52156205
Jul - Sep 2015,5.405117579,5.167240376,8.39073035
Oct - Dec 2015,4.841295669,4.622742135,7.95260079
Jan - Mar 2016,4.946258044,4.822124264,8.126576907
Apr - Jun 2016,4.765128572,4.628079809,7.359227603
Jul - Sep 2016,4.89664447,4.74660709,8.744113274
Oct - Dec 2016,4.52244244,4.210406562,7.61047098
Jan - Mar 2017,4.336729195,5.16674449,8.679758414
Apr - Jun 2017,4.237196438,4.045734103,7.667930386
Jul - Sep 2017,4.435287293,3.233989334,7.286641056
Oct - Dec 2017,4.140325301,3.708126469,7.508127017
Jan - Mar 2018,4.110429028,3.737967209,7.141658175
