Year ending,EU IPS inflow for work-related reasons,NINos
YE Dec 09,88,309
YE Mar 10,93,274
YE Jun 10,94,285
YE Sep 10,102,295
YE Dec 10,91,327
YE Mar 11,84,360
YE Jun 11,90,356
YE Sep 11,84,363
YE Dec 11,93,372
YE Mar 12,90,350
YE Jun 12,83,362
YE Sep 12,89,343
YE Dec 12,95,343
YE Mar 13,103,385
YE Jun 13,118,398
YE Sep 13,128,421
YE Dec 13,125,440
YE Mar 14,134,440
YE Jun 14,138,421
YE Sep 14,143,505
YE Dec 14,155,590
YE Mar 15,162,629
YE Jun 15,162,697
YE Sep 15,164,655
YE Dec 15,177,630
YE Mar 16,178,630
YE Jun 16,190,631
YE Sep 16,180,629
YE Dec 16,161,626
YE Mar 17,157,593
YE Jun 17,144,576
YE Sep 17,146,548
YE Dec 17,144,497
YE Mar 18,127,477
YE Jun 18,114,446
YE Sep 18,104,426
YE Dec 18,99,419
YE Mar 19p,93,419
YE Jun 19p,90,448
YE Sep 19p,79,457
YE Dec 19p ,,456
